a lot,family,outside,too
about,favorite,people,took
again,finally,presents,two
always,first,pretty,until
and,friends,probably,upon
another,getting,really,usually
are,happened,said,very
around,have,scared,want
beautiful,heard,school,was
because,house,something,we're
before,I,sometimes,went
believe,I'm,started,were
buy,into,stopped,what
caught,it's,swimming,when
clothes,know,that's,where
could,let's,their,which
Dad,like,then,whole
didn't,little,there,with
different,maybe,there's,would
doesn't,Mom,they,you're
don't,morning,they're,
especially,off,thought,
everybody,once,through,
everyone,one,tired,
everything,our,to,
